"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT09"
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2012-01-01","17.90"," 1434","0.01",,"45","30","  280","  280","38.0","51.0","    1",,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2012-01-02","17.67"," 1909","0.00",,"30","19","  330","  330","28.0","36.9","    1",,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2012-01-03","11.86"," 0133","0.00",,"21","16","  310","  320","23.9","33.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2012-01-04","9.40"," 1605","0.00",,"35","19","  270","  270","18.1","23.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2012-01-05","7.38"," 0304","0.00",,"40","25","  300","  290","16.1","19.9","    1",,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2012-01-06","8.95"," 0411","0.00",,"54","37","  240","  240","16.1","21.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2012-01-07","11.63"," 1502","0.00",,"43","32","  290","  290","21.9","25.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2012-01-08","4.70"," 0301","0.00",,"37","25","  290","  290","13.0","17.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2012-01-09","8.28"," 2340","0.00",,"41","21","  270","  280","18.1","23.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2012-01-10","5.82"," 0006","0.00",,"46","27","  270","  270","17.0","23.9","    1",,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2012-01-11","5.82"," 0920","0.00",,"46","26","   90","   60","12.1","23.0","    1",,,,,"    1",
